,Hospital Name,Hospital Address,City Name,Pin Code,State,Hospital Type,Contact Number
11,VENNELA NETRALAYAM - VINUKONDA,PALNADU ROAD VINUKONDA GUNTUR (DIST), GUNTUR, 522647, ANDHRA PRADESH, PPN, [8646]274075
12,UJHWAL HOSPITALS - VISAKHAPATNAM,"D NO.6-127/12, NH5, BACK SIDE OF UNION BANK OF INDIA, MADURAWADA", VISAKHAPATNAM, 530041, ANDHRA PRADESH, PPN, [891 ]2501166
13,NOBLE MULTI SPECIALITY HOSPITAL - KURNOOL,"DOOR NO:43-194-2A, NR PETA,7TH LINE,OPP: MUNCIPAL OFFICE", KURNOOL, 518004, ANDHRA PRADESH, PPN, [918518]9014848456
14,SIDDHARTHA HOSPITAL - KAKINADA,"34-1-20,TEMPLE STREET,BESIDE MALBAR GOLD,OPP TO KHAZANA JEWELLERS,", KAKINADA, 533001, ANDHRA PRADESH, PPN, [884]6664443
15,AMMA HOSPITAL - VISAKHAPATNAM,"SECTOR-I,M.V.P COLONEY", VISAKHAPATNAM, 530017, ANDHRA PRADESH, PPN, [891]2459111;2769456
16,M J NAIDU SUPER SPECIALITY HOSPITAL - VIJAYAWADA,"D.NO: 33-27-32, BEPPAPU SOBHANADRI STREET, NEAR PUSHPA HOTEL, KASTURIBAIPETA", VIJAYAWADA, 520002, ANDHRA PRADESH, PPN, [0866]2435555
17,ANJALI NURSING HOME - NELLORE,"23/827,RAMESH REDDY NAGAR, NELLORE,SPSR", NELLORE, 524003, ANDHRA PRADESH, PPN, [861]2325008
18,TIME HOSPITALS PVT LTD - VIJAYAWADA,"11-150, ASHOK NAGAR BUS STOP,MG ROAD,", VIJAYAWADA, 520007, ANDHRA PRADESH, PPN, [0866]2555526
19,SAI TIRUMALA SUPER SPECIALITY HOSPITAL-NARASARAOPET,"ACHCHIREDDY COMPLEX, ARUNDALPET, NARASARAOPET, GUNTUR DISTRICT", NARASARAOPET, 522601, ANDHRA PRADESH, PPN, [08647]220229/226874
20,MARUTHI HOSPIAL - VIZIANAGARAM,"NELLIMARLA, VIZIANAGARAM,", VIZIANAGARAM, 535217, ANDHRA PRADESH, PPN, [08922]244213
21,MAXCARE HOSPITAL (A UNIT OF KAKATIYAN MEDICAL SERVICES PVT. LTD),"6-1-236, KANCHARAKUNTA,OPP: KUDA OFFICE", HANAMKONDA, 506001, ANDHRA PRADESH, PPN, [0870]2503366
22,NEPHROPLUS DIALYSIS CENTER-Ongole,"Sri Venkata Ramana Nursing Home Pvt Ltd,Kurnool Road,Venkateshwara Nagar,Ongole", ONGOLE, 523001, ANDHRA PRADESH, PPN, [08592]282455
23,SRI ADITYA HOSPITAL - TANUKU,"D No 33-5-1, SURYALAYAM STREET", TANUKU, 534211, ANDHRA PRADESH, PPN, [8819]228696
24,LMR MULTI SPECIALITY HOSPITAL - ANANTHAPUR,"#13-3-187, sreenivas nagar,behind rtc bus stand, indian bank road,", ANANTHAPUR, 515001, ANDHRA PRADESH, PPN, [8554]221048
25,"Andhra Hospitalas(A Unit of Viswadeep Medical Services Pvt.Ltd.,) - MACHILIPATNAM","D.No:4/124,125, Rajupet,Machilipatnam.", MACHILIPATNAM, 521001, ANDHRA PRADESH, PPN, [8672]221199
26,SURYA HOSPITAL - KARNOOL,"NEAR AYYAPPA SWAMY TEMPLE,JOHARAPURAM ROAD,KURNOOL", KURNOOL, 518002, ANDHRA PRADESH, PPN, [8518]08518255501
27,VIJETHA HOSPITAL - VISAKHAPATNAM,#18-01-15 & 16, VISAKHAPATNAM, 530002, ANDHRA PRADESH, Other," [891]2550354 , 2550355"
28,DURGA HOSPITALS,"36-91-108, URVASI JUNCTION, KANCHARLAPALEM", VISAKHAPATNAM, 530008, ANDHRA PRADESH, PPN, [0891]2558037
29,KRISHNA MATERNITY & NURSING HOME - VISAKHAPATNAM,"""RAMCHANDER"", D.NO: 43-5-53, KAMALAMMA HOSPITAL ROAD, RAILWAY NEW COLONY", VISAKHAPATNAM, 530016, ANDHRA PRADESH, PPN, [891 ]2720769
30,SAGAR HOSPITAL - CHITOOR,"151, SAI RAM STREET, TIRUPATI", CHITOOR, 517507, ANDHRA PRADESH, PPN, [877]2287888
31,NEPHROPLUS DIALYSIS CENTER - TIRUPATI,"DBR&SK SUPER SPECIALITY HOSPITAL 4TH FLOOR,DOOR NO:20-7-37,TMC MUSIC CENTRE ROAD", TIRUPATI, 517501, ANDHRA PRADESH, PPN, []8978924222
32,SRI VASUDHA HOSPITALS - GUNTUR,"OPP.D.S.KALYANA MANDAPAM, KOTHAPET", GUNTUR, 522001, ANDHRA PRADESH, PPN, [863 ]2329761
33,HEALTH HOSPITALS - Tenali,"Prakasam Road, Ganganammapet", TENALI, 522201, ANDHRA PRADESH, PPN, [08644]222229
34,MOTHER TERESA MULTI SPECIALITY HOSPITAL-NARASARAOPET,5-1-16&17 PALNADU ROAD, NARASARAOPET, 522601, ANDHRA PRADESH, PPN, [08647]227070
35,MOTHER TERESA HOSPITAL-GUNTUR,"OPP:R& B BUNGLAW, MAYKAAVARIVEEDHI,NEAR BUS AND RAILYWAY STATION", GUNTUR, 522265, ANDHRA PRADESH, PPN, [918648]222699
36,MUVVA GOPALA HOSPITALS PVT LTD - VIZIANAGARAM,"18-3-5, NEAR KOTA JUNCTION,", VIZIANAGARAM, 535002, ANDHRA PRADESH, PPN," [8922]229917, 229927"
37,"VEERAIAH CHOWDARY ORTHO,TRAUMA & MULTI SPECIALITY HOSPITAL - NARASARAO PET","OVER BRIDGE ENTRANCE,VINUKONDA ROAD,NARASARAO RAO,GUNTUR(DIST)-522601,AP.", GUNTUR, 522601, ANDHRA PRADESH, Other, [8647]231333
38,SRI TIRUMALA HOSPITAL - KODAD,"PRAMEELA SRIPATHI PLAZA, MAIN ROAD", KODAD, 508206, ANDHRA PRADESH, PPN, [8683]250437
39,NEPHROPLUS DIALYSIS CENTER - TIRUPATI,"MANASA KIDNEY FOUNDATION , KAPILTEERTHAM ROAD", TIRUPATI, 517501, ANDHRA PRADESH, PPN, [0]0
40,STAR HOSPITAL - GUNTUR,"BLOCK NO 3, MANGALA MANDIRAM COMPOUND, OLD CLUB ROAD, KOTHAPET, GUNTUR-522001", GUNTUR, 522001, ANDHRA PRADESH, PPN, [863]2268881
41,APOLLO SPECIALITY HOSPITALS - NELLORE,"16/111/1133,MUTHKUR ROAD,PINAKINI NAGAR,NELLORE", NELLORE, 524003, ANDHRA PRADESH, Other, [861]0861-3337333
42,GOPI MADHAVI HOSPITAL - TIRUPATI,"10-3-206, REDDY & REDDY COLONY", TIRUPATI, 517507, ANDHRA PRADESH, PPN, [877]2255660
43,MOTHER VANNINI HOSPITAL - GUDEM,KADAKATLA TADEPALLIGUDEM, T P GUDEM, 534101, ANDHRA PRADESH, PPN, [8818]244502
44,HOPE INTERNATIONAL HOSPITAL - KAKINADA,3-119 ADB ROAD PANASAPADU KAKINADA EAST GODAVARI ANDHRA PRADESH, KAKINADA, 533005, ANDHRA PRADESH, PPN, [884]2370777
45,PINNACLE HOSPITALS INDIA PVT.LTD. - VISAKHAPATNAM,"plot no.10,11,&12 apiic health city, china gadili,vizag.", VISAKHAPATNAM, 530040, ANDHRA PRADESH, PPN, [891]3099988
46,STAR PINNACLE HEART CENTRE PVT LTD - VISAKHAPATNAM,"PLOT:10, 11, 12, SURVEY NO: 13P, APIIC HEALTH CITY, CHINAGADILI, ARILOVA, VISAKHAPATNAM-530040", VISAKHAPATNAM, 530040, ANDHRA PRADESH, PPN, [891]3099977
47,VEDANTA HOSPITALS - GUNTUR,"BESIDE VASAVI CLOTH MARKET, NEAR BEST PRICE SUPER MARKET, MANGALAGIRI ROAD, GUNTUR DIST., ANDHRA PRA", GUNTUR, 522001, ANDHRA PRADESH, PPN, [863]8885499986
48,RK HOSPITAL - RANGAREDDY,"Manda mallamma &#39;X&#39; Road,RCI Road,Champapet,Hyderabad", RANGA REDDY, 500059, ANDHRA PRADESH, PPN, [40]65794411
49,KIDZ RAINBOW CHILDREN & BABY HOSPITAL - NELLORE,"RAMESH REDDY NAGAR, NEAR R.T.C.BUSSTAND, NELLORE", NELLORE, 524003, ANDHRA PRADESH, PPN, [861]2335888
50,UNIVERSAL HOSPITALS ( A UNIT OF RAJENDRA PRASAD HOSPITALS) - RAJAHMUNDRY,"29-14-29, LAKSHMIVARAPUPETA,", RAJAHMUNDRY, 533104, ANDHRA PRADESH, PPN, [883]8832555533
51,DR. AGARWAL'S EYE HOSPITALS- VIZAG,12-1-16 PRAKAS RAO PET, VISAKHAPATNAM, 530002, ANDHRA PRADESH, Other, [861]9515112630
52,SRI RAMA NURSING HOME - GUDIWADA,"10/207-01, ELURU ROAD, GUDIWADA KRISHNA DIST", GUDIVADA, 521301, ANDHRA PRADESH, Other, [5674]244773
53,SWARUP EYE HOSPITAL & LASER CENTRE - PRODDATUR,"H.NO. 3/1176, T.B. ROAD, PRODDATUR", PRODDATUR, 516360, ANDHRA PRADESH, PPN, [8564]08564258182
54,VASAVI APEX HOSPITAL - KARNOOL,"D.No-50-760a-116,gayatri estates,Kurnool", KURNOOL, 518002, ANDHRA PRADESH, PPN, [8518]233108
55,GUNTUR KIDNEY & MULTI SPECIALITY HOSPITAL - GUNTUR,"15-11-1/10 NEAR PADMAJA PETROL BUNK, MANGALAGIRI ROAD, GUNTUR-522001", GUNTUR, 522001, ANDHRA PRADESH, PPN, [863]2352123
56,L V PRASAD EYE INSTITUTE - VISAKHAPATNAM,"11-113/1,G M R VARALAKSHMI CAMPUS, HANUMANTHAWAKA JUNCTION, VISAKHAPATNAM", VISAKHAPATNAM, 530040, ANDHRA PRADESH, Other, [0891]3984233
57,SANTHIRAM MEDICAL COLLEGE AND GENERAL HOSPITAL - NANDYAL,"NH-18, NANDYAL,KURNOOL DIST,NEAR VENKATESWARAPURAM,", NANDYAL, 518501, ANDHRA PRADESH, PPN, [08514]222203
58,B.M.R. HOSPITALS - Guntur,"D. No. 6 - 22 - 22 / A, 6th Lane, Iind Cross, Arundelpet", GUNTUR, 522002, ANDHRA PRADESH, Other, [0863]2241370 / 2354189 / 0986802892
59,RAJU NEURO AND MULTISPECIALITY HOSPITALS PVT. LTD. - Rajahmundry,"76 - 4 - 7, Gandhipuram - Ii", RAJAHMUNDRY, 533103, ANDHRA PRADESH, Other, [0883]2461310 / 2445199 / 2461679
60,PADMAJA HOSPITAL - Visakhapatnam,Old Gajuwaka Junction, VISAKHAPATNAM, 530026, ANDHRA PRADESH, PPN, [0891]2762975 / 2515648
61,GLOBAL MEDICAL CENTER - Vijayawada,"Beside Police Control Room, Door No. 27- 37- 66 - 22 / 31, M. G. Road", VIJAYAWADA, 520002, ANDHRA PRADESH, Other, [0866]2571817 / 613
62,R K HOSPITAL: GAJUWAKA HOSPITALS (P) LTD. - Visakhapatnam,"D. No: 26 - 16 - 7, Chaitanya Nagar, China Gantyada, Gajuwaka", VISAKHAPATNAM, 530026, ANDHRA PRADESH, Other, [0891]2517599 / 25175081
63,CARE HOSPITAL - Visakhapatnam,"Raja Complex, Ramnagar, Walter Main Road", VISAKHAPATNAM, 530002, ANDHRA PRADESH, PPN, [0891]3041444 / 3067000
64,CHARITHASRI HOSPITALS LTD. - Vijayawada,"29 - 14 - 51, NEAR PUSHPA HOTEL, 5 NO ROUTE, PRAKASAM ROAD", VIJAYAWADA, 520002, ANDHRA PRADESH, Other, [0866]2432350 / 60
65,SEVEN HILLS HEALTHCARE PVT. LTD. - Visakhapatnam,"Rock Dale Layout Waltair Main Road, Ram Nagar,", VISAKHAPATNAM, 530002, ANDHRA PRADESH, Other, [0891]6677777 EXT- 2021
66,RSR HOSPITAL - Nellore,"16 - 2 / 90, Pogathota", NELLORE, 524001, ANDHRA PRADESH, PPN, [0861]2321693 / 94
67,APOLLO HOSPITALS - VISAKHAPATNAM,"Waltair Main Road, Harita Arcade", VISAKHAPATNAM, 530002, ANDHRA PRADESH, Other, [0891]2727272 / 2529618 / 21
68,SREE ASHWINI HOSPITALS - Kurnool,"50-760-A85-4,Near Govt.Hospital", KURNOOL, 518002, ANDHRA PRADESH, PPN, [08518]230498/230499/9059047834
69,THE PUJITHA HOSPITAL - Vijayawada,"59 A - 15 - 31 , NTR Circle ,", VIJAYAWADA, 520010, ANDHRA PRADESH, PPN, [0866]2495622
70,VIJAYA HOSPITAL - Nellore,"16 / 11 / 41 A, Pogathota", NELLORE, 524001, ANDHRA PRADESH, Other, [0861]2321828 / 2331828
71,SWATANTRA HOSPITALS (MS) PVT. LTD. - Rajahmundry,Near Kambala Park, RAJAHMUNDRY, 533105, ANDHRA PRADESH, PPN, [0883]2400400 / 2400401 - 409
72,GOWRI GOPAL HOSPITALS PVT. LTD. - Kurnool,"D. No. 46 - 87, Budhwar Peta", KURNOOL, 518002, ANDHRA PRADESH, PPN, [08518]255499/255689/255898
73,DR. RAMESH CARDIAC & MULTISPECIALITY HOSPITAL LTD. - Vijayawada,"Ring Road, Near ITI College", VIJAYAWADA, 520008, ANDHRA PRADESH, PPN, [0866]2484800 / 811
74,LALITHA SUPER SPECIALITY HOSPITAL (P) LTD - Guntur,"Gowri Shankar Theatre Road, Kothapet", GUNTUR, 522001, ANDHRA PRADESH, PPN, [0863]2217401 / 5542867
75,VISWA BHARATHI SUPER SPECIALITY HOSPITAL - Kurnool,Gayathri Estate, KURNOOL, 518002, ANDHRA PRADESH, Other, [08518]229966 / 67 / 68 / 69
76,TIRUMALA Multispeciality Hospitals Pvt Ltd,Near R. T. C. Complex, VIZIANAGARAM, 535003, ANDHRA PRADESH, Other, [08922]223921/ 225850
77,AKIRA EYE HOSPITAL - RAJAHMUNDRY,Aryapuram, RAJAHMUNDRY, 533104, ANDHRA PRADESH, Other, [0883]2471147 / 2432559
78,DHULIPALLA HOSPITAL PVT. LTD. - Guntur,"Door No.: 12 - 15 - 179, Kothapet", GUNTUR, 522001, ANDHRA PRADESH, Other, [0863]2224061 / 2225411
79,AASHA HOSPITAL - Ananthapur,"7 - 201, Court Road", ANANTHAPUR, 515001, ANDHRA PRADESH, Other, [08554]274194 / 237818
80,AN BEACH HOSPITAL - Visakhapatnam,"Beach Road, Maharanipeta", VISAKHAPATNAM, 520012, ANDHRA PRADESH, Other, [0891]2525617 / 2706307
81,TRUST HOSPITAL - Vijayawada,"H.NO.40-9-58A,GUTTI KONDA,GOPALA RAO ST,KALANAGAR,NEAR BENZ CIRCLE,", VIJAYAWADA, 520010, ANDHRA PRADESH, Other, [0866]2470909 / 2475656
82,DR. ANJI REDDY MULTI SPECALITY HOSPITAL PVT LTD - Piduguralla,"16 / 682, Main Road, Piduguralla Guntur", PIDUGURALLA, 522413, ANDHRA PRADESH, PPN, [08649]254001 / 254002 / 09866300099
83,CITY CANCER CENTRE - Vijayawada,"33 - 25 - 33, Ch Venkatakrishna Street, Suryapeta", VIJAYAWADA, 520002, ANDHRA PRADESH, Other, [0866]2436661
84,KARUMURI SUPER SPECIALTY HOSPITALS - Guntur,"Old Club Road,", GUNTUR, 522001, ANDHRA PRADESH, PPN, [0863]2222200 / 2322882
85,INDUS HOSPITALS (A UNIT OF VASUGAN MEDICAL SPECIALITIES PRIVATE LIMITED) - VISAKHAPATNAM,"# 18 - 1 - 6, K. G. H Down Road, Maharanipeta, Opp Lepakshi Handicrafts", VISAKHAPATNAM, 530002, ANDHRA PRADESH, PPN, [0891]2508881 / 09848724365 / 09848194683
86,GIRIDHAR E.N.T HOSPITAL & LASER CENTER - Vijayawada,"Ch. Durgaiah Street ,", VIJAYAWADA, 520002, ANDHRA PRADESH, PPN, [0866]2435194
87,MOTHER & CHILD HOSPITAL AND FAMILY HOSPITAL - VIJAYAWADA,"DORNAKAL ROAD,SURYA RAO PET,ABC IMAGING OPP", VIJAYAWADA, 520002, ANDHRA PRADESH, PPN, [0866]6618008/2434882
88,LAKSHMI ARUNDHATI NURSING HOME - Tanuku,"N.S.C. Bose Road, Near S. B. I, West Godavary District", TANUKU, 534211, ANDHRA PRADESH, Other, [08819]224679 / 09849381200
89,SUDHA HOSPITAL - Tanuku,"21 - 1 - 4, Co-Operative Stores", TANUKU, 534211, ANDHRA PRADESH, Other, [08819]224230 / 09848457959
90,BHARATHI HOSPITAL - Kadapa,"Dr. R. G. V. Reddy Dr. N. Swarupa Rani, Bharathi Hospital, Yeramuka Palli", KADAPA, 516004, ANDHRA PRADESH, Other, [08562]257089
91,VENKATRAMA HOSPITAL - Visakhapatnam,D No 47-7-43 Nehru Market Road Dharaka Nagar, VISAKHAPATNAM, 530016, ANDHRA PRADESH, Other, [0891]2798631 / 2798952
92,JNANANANDA RETINA FOUNDATION PVT. LTD ( JNANANANDA OPHTHALMIC INSTITUTE) - Bhimavaram,"Mayur Building , Town Railway Station Road", BHIMAVARAM, 534202, ANDHRA PRADESH, Other, [08816]222381
93,SANKAR FOUNDATION EYE HOSPITAL - Visakhapatnam,"Sai Madhav Nagar , Naiduthota , Vepagunta", VISAKHAPATNAM, 530047, ANDHRA PRADESH, PPN, [0891]2891100 / 2891111
94,VIJAYA HOSPITAL - KURNOOL,"N D L Road, Revenue Colony", KURNOOL, 518002, ANDHRA PRADESH, Other, [08518]271008 / 271009
95,MODERN EYE HOSPITAL AND RESEARCH CENTRE - Nellore,"D. No. 16 - 11 -101, Beside Vankata Ramana Hotel Lane, Pogathota", NELLORE, 524001, ANDHRA PRADESH, Other, [0861]2324868
96,NALLURI NURSING HOME - Ongole,K. P. Road, ONGOLE, 523001, ANDHRA PRADESH, Other, [08592]233006
97,LAZARUS HOSPITAL - Visakhapatnam,"10 - 50 - 2, Waltair Main Road", VISAKHAPATNAM, 530002, ANDHRA PRADESH, Other, [0891]2780780
98,SWETHA CHILDRENS HOSPITAL - TIRUPTHI,"NEW MUNICIPAL OFFICE, NEAR DEVENDRA THEATRE,BHAVANI NAGAR, 2ND STREET, D NO 18-1-664,", TIRUPATI, 517501, ANDHRA PRADESH, PPN, [0877]2222228
99,ST JOSEPH'S HOSPITAL - GUNTUR,"MAIN ROAD, OPP. A.C. COLLEGE, GUNTUR", GUNTUR, 522004, ANDHRA PRADESH, Other, [0863]2322700
100,RAGHVENDRA UROLOGICAL SUPERSPECIALITY HOSPITAL PVT.LTD - Tirupati,"Opp. Municipal Office, Reddy & Reddy Colony", TIRUPATI, 517501, ANDHRA PRADESH, Other, [0877]2220487/09848386464
101,RAVI NURSING HOME - Chirala,"Government Hospital Road, Wood Nagar", CHIRALA, 523155, ANDHRA PRADESH, Other, [08594]232660 / 236660
102,APOORVA HOSPITAL - VISAKHAPATNAM,"NO.50-17-62,RAJENDRA NAGAR,VISAKHAPATNAM,NEAR RELIANCE PETROL BUNK,BEHIND V.T. COLLEGE,", VISAKHAPATNAM, 530016, ANDHRA PRADESH, PPN, [0891]2701258
103,PRAMEELA HOSPITAL - Tirupati,"10 - 3 - 206, Kotakommala Street", TIRUPATI, 517501, ANDHRA PRADESH, Other, [0877]2220948 / 2220958
104,SWETHA HOSPITALS - Rajahmundry,"Danavai Peta, D. N. -46-18-8/2 , East Godavari,", RAJAHMUNDRY, 533103, ANDHRA PRADESH, Other, [0883]2465533
105,AHALYA DEVI NURSING HOME - Nellore,"16-1-712,Near Nehru Statue, Trunk Road Opp.Avula Shopping Arcade ,", NELLORE, 524003, ANDHRA PRADESH, Other, [08612]323448
106,ANASUYA INSTITUTE AND MEDICAL SCIENCES - Nellore,"16 / 2 / 142, Beside Hotel Venkata Ramana Lane, Pogathota", NELLORE, 524001, ANDHRA PRADESH, Other, [0861]2326233
107,S.K. SUPERSPECIALITY LASER EYE HOSPITAL - Vijayawada,"29-13-87, Kaleshwara Rao Road, Suryapet", VIJAYAWADA, 520002, ANDHRA PRADESH, Other, [0866]2433791
108,HELP HOSPITAL - Vijayawada,"Behind Victoria Museum, M G Road", VIJAYAWADA, 520002, ANDHRA PRADESH, PPN, [0866]6615552
109,SRI SAI ORTHOPEDIC AND SRI SAI INFERLILITY HOSPITAL - Tanuku,"D No. 20-08-11, Nadeclavari Street,, Opp. Street Of Govt. Hospital", TANUKU, 534211, ANDHRA PRADESH, Other, [08819]226642 / 228765
110,GELIVI NURSING HOME - Nandyal,"3-155, Byrmal Street", NANDYAL, 518501, ANDHRA PRADESH, Other, [08514]243505/242846
111,NARAYANA GENERAL HOSPITAL AND NARAYANA SUPERSRECIALITY - Nellore,CHINTHAREDDYPALEN, NELLORE, 524002, ANDHRA PRADESH, Other, [0861]2355511/2317964/2317965
112,SRI SAI KRUPA NURSING HOME - Ananthapur,10 - 368 Sarojini Road, ANANTHAPUR, 515001, ANDHRA PRADESH, Other, [08554]274564
113,APOLLO SAMUDRA HOSPITAL - Kakinada,"13-1-3,Main Road. Kakinada", KAKINADA, 533003, ANDHRA PRADESH, Other, [0884]2345700/800/900
114,RICH HOSPITALS (P) LTD. - Nellore,"(Ravi Childr.En Hospital) Kasturi Devi Nagar, Pogathota", NELLORE, 524001, ANDHRA PRADESH, Other, [0861]2326228/2326228/2328333
115,QUEENS NRI HOSPITAL - Visakhapatnam,"# 50 - 53 - 14, Gurudwara Lane, Seethammadhara, Beside A. P. ED. D. C. L Corporation Ltd.", VISAKHAPATNAM, 530013, ANDHRA PRADESH, PPN, [0891]2535063 / 9949098345
116,ASWINI NETHRALAYAM-NARASARAOPET,"GUNTUR ROAD, NARASARAOPET", NARASARAOPET, 522601, ANDHRA PRADESH, PPN, [08647]222761
117,SWAMY EYE HOSPITAL - Vizianagaram,"PUTUCHALAVEEDHI, OPP: OLD BUS STAND", VIZIANAGARAM, 535001, ANDHRA PRADESH, PPN, [8922 ]225722
118,SURYA HOSPITALS - VIZIANAGARAM,"100 FT RING ROAD, NEAR SAI BABA TEMPLE", VIZIANAGARAM, 535001, ANDHRA PRADESH, PPN, [08922]232477
119,ASRAM HOSPITAL - Eluru,"MALKAPURAM , N. H - 5 , WEST GODAVARI", ELURU, 534004, ANDHRA PRADESH, PPN, [08812]249361 / 62
120,KONARK HOSPITALS - Hyderabad,"Plot nos 13 and 14, Beside Sherwood Public School, Petbasheerabad Village, Qutubullapur Mandal", KOMPALLY, 500055, ANDHRA PRADESH, Other, [040]44661515
121,SREE BALA NURSING HOME & SREE BALA ENT CARE CENTER - Kakinada,"12 - 2 - 24, Dantuvari Street", KAKINADA, 533001, ANDHRA PRADESH, PPN, [0884]2385499 / 2368699
122,SWARUPARANI NURSING HOME - Eluru,"Edaravari, R. R. Peta", ELURU, 534002, ANDHRA PRADESH, PPN, [08812]230935 / 223565
123,SWAMI SUPER SPECIALITY NETRALAYAM & SKIN CARE CENTRE - Nandyal,"Beside Satyasai Kalyanamandapam ,", NANDYAL, 518501, ANDHRA PRADESH, PPN, [08514]225999
124,Dr. PINNAMANENI SIDDHARTHA INSTITUTUE OF MEDICAL SCIENCES & RESEARCH FOUNDATION - Krishna,"Chinaoutpalli, Gannavaram mandalam", KRISHNA, 521286, ANDHRA PRADESH, Other, [08676]257311
125,CHAITANYA EYE HOSPITAL - VIJAYAWADA,"TIKKLE ROAD, NEAR SIDDHARTH ARTS COLLEGE,", VIJAYAWADA, 520010, ANDHRA PRADESH, PPN, [0866]2475153
126,RAVI NEURO & EMERGENCY HOSPITAL - CHITTOOR,"# 576, OPPOSITE TO MUNCIPAL OFFICE", CHITOOR, 517501, ANDHRA PRADESH, PPN, [0877]2222369
127,SREE RAMADEVI MULTI SUPER SPECIALTY HOSPITAL-TIRUPATI,"T.S-82-SAIRAM STREET, NEAR BHAVENI NESAR", TIRUPATI, 517501, ANDHRA PRADESH, PPN, [0877]2287437
128,KIMS SAI SESHADRI HOSPITAL - SRIKAKULAM,"NEW BRIDGE ROAD, NEAR DUTTA TEMPLE,", SRIKAKULAM, 532001, ANDHRA PRADESH, PPN, [08942]271116/271118
129,VASAN EYE CARE HOSPITAL - TIRUPATHI,"Gayathri Towers, 13-5-531", TIRUPATI, 517501, ANDHRA PRADESH, PPN, [0877]2220552
130,SRI KRISHNA INSTITUTE OF MEDICAL SCIENCES-GUNTUR,"BESIDE MANIPURAM FLYOVER, NEAR R.T.C.BUS STAND, MANGALAGIRI ROAD, GUNTUR.", GUNTUR, 522001, ANDHRA PRADESH, PPN, [0863]2225777
131,GUNTUR CITY HOSPITAL-GUNTUR,"MUKKU PITCHI REDDY COM, OLD CLUB ROAD, KOTHAPET GUNTUR.", GUNTUR, 522001, ANDHRA PRADESH, Other, [0863]2237337
132,VASAN EYE CARE HOSPITAL-VISAKHAPATNAM,"NO:10-50-81, WALTAIR MAIN ROAD , ROCK DALE LAY OUT,", VISAKHAPATNAM, 530002, ANDHRA PRADESH, PPN, [0891]3989000
133,SRI BHAVANI NURSING HOME-GUNTUR,"2ND LINE, GUNTURUVARI THOTA", GUNTUR, 522002, ANDHRA PRADESH, PPN, [0863]2263736
134,VASAN EYE CARE HOSPITAL - Nellore,"15-365,Brindavanam,Magnuta Subbarami Reddy", NELLORE, 524001, ANDHRA PRADESH, PPN, [0861]398 9000
135,SURAKSHA HOSPITAL - VIJAYAWADA,"Anjamma Street, Opp. Post office", VIJAYAWADA, 520010, ANDHRA PRADESH, Other, [0866]6677999
136,PADMASRI HOSPITAL - VISHAKHAPATNAM,NGGO COLONY AKKAYYAPALEM HIGHWAY VISHAKHAPATNAM 49-48 16/5, VISAKHAPATNAM, 530016, ANDHRA PRADESH, Other, [0891]2734747
